bsf: 1.25
act: 46830


runBB: 0.35
run1B: 0.52
run2B: 0.82
run3B: 1.11
runHR: 1.42
rnBIP: -0.07

runs-: 0.29
runs+: 0.59
wobas: 1.14

wobaBB: 0.72
woba1B: 0.91
woba2B: 1.26
woba3B: 1.59
wobaHR: 1.94

  |   H%  |  XB%  |  HR%  |  BB%  |   K%  |  wOBA |
SP Pilgrim, G      28| 116/116     116/116  13/ 22 | 144 |          |  + | SP,P          |      $2.2M a |  $7.81M |    p1676 | Chicago (N) Cubs     | **^
SP Perez, B        32| 103/103     100/105   0/  9 | 114 |          |  + | SP,P          |      $920k a | $673.2k |    p3670 | Chicago (N) Cubs     | **
MR Garcia, Y       35|  95/ 92     113/108   6/ 11 | 100 |          | +  | MR,P          |      $785k a |  $3.97M |    p4606 | Chicago (N) Cubs     | **^
CF Fuentes, R      35|  90/ 86      73/ 93  -3/ -8 |  84 | -8---999 |  + | CF,OF,H       |      $500k a |         |     p512 | Chicago (N) Cubs     | *^

SS Ayo, A          26|  20,180,000  20,180,000
MR Gonzalez, J     36|  18,910,000            
2B Michael, L      35|  16,090,000            
SP Bumgarner, M    36|   9,670,000            
SP Harvey, M       37|   9,230,000            
3B Alvarez, P      39|   8,200,000            
1B Terrazas, A     26|   8,140,000   8,140,000
LF Baldwin, G      35|   7,560,000   7,560,000
SP Appel, M        34|   6,750,000   6,750,000
CF Piscotty, S     35|   6,630,000            
SS Paredes, J      37|   4,470,000            
3B Asche, C        35|   4,460,000            
CF Shipman, A      34|   3,290,000            
CF Aplin, A        35|   2,840,000   2,840,000
MR Sanchez, E      37|   2,800,000            
MR Clewis, B       30|   2,750,000   2,750,000
MR Emanuel, K      33|   2,500,000            
CF Puello, C       35|   2,240,000   2,240,000
SP Pilgrim, G      28|   2,200,000   2,200,000
SP Santiago, L     36|   1,370,000   1,370,000
SP Britton, Z      38|     960,000            
SP Perez, B        32|     920,000     920,000
MR Garcia, Y       35|     785,000   1,120,000
SS Machado, D      34|     500,000     500,000
CF Fuentes, R      35|     500,000     500,000
                     | 143,945,000  57,070,000

**Top Targets     ** |     OVR      vL/vR   vRpl   |     |          | XC | 
 C Alberts, R      24|  79/ 91      84/ 77   0/ 12 | 110 | 8------- |    | C,H           |              | $673.2k |    p3053 | No Team              | +++
 C Gallegos, N     24|  73/ 88      77/ 72  -6/  9 | 105 | 71------ |  + | C,H           |              |         |    p2657 | No Team              | ++-
SP Diaz, L         33|  97/ 97      90/101  -6/  3 | 101 |          |  + | SP,P          |              |         | MR p2075 | No Team              | *^
SS Naomi, H        20|  73/ 88      70/ 74 -20/ -4 |  99 | -3-55--- | -+ | SS,IF,H       |              |         | 3B p3283 | No Team              | ++
MR Chavez, J       28|  87/ 87      99/102  -2/  5 |  98 |          | +  | MR,P          |              |         |    p1315 | No Team              | *
SP Brady, S        31|  94/ 94      88/ 97  -9/  0 |  98 |          | ++ | SP,P          |              |         | MR p4332 | No Team              | *
CF McAbee, R       23|  82/ 87      85/ 81 -11/ -7 |  97 | -2---272 | ++ | CF,OF,H       |              |         |    p3026 | No Team              | +++
2B Haas, R         24|  81/ 89      87/ 80 -12/ -3 |  97 | -254---- |  + | IF,H          |              |         | SS p2929 | No Team              | ++-
CF Gimenez, L      28|  93/ 93      90/ 93   0/ -1 |  97 | -2---635 |  - | CF,OF,H       |              | $673.2k | RF p2759 | No Team              | *

**Free Agents     ** |     OVR      vL/vR   vRpl   |     |          | XC | 
 C Alberts, R      24|  79/ 91      84/ 77   0/ 12 | 110 | 8------- |    | C,H           |              | $673.2k |    p3053 | No Team              | +++
 C Gallegos, N     24|  73/ 88      77/ 72  -6/  9 | 105 | 71------ |  + | C,H           |              |         |    p2657 | No Team              | ++-
 C Charron, M      27|  88/ 88      91/ 88   9/  9 | 103 | 55------ | -+ | C,H           |              |  $5.62M |    p2122 | No Team              | *
 C Delcambre, J    26|  80/ 87      82/ 80   1/  8 | 101 | 4------- |    | C,H           |              |  $1.22M |    p2968 | No Team              | *
SP Diaz, L         33|  97/ 97      90/101  -6/  3 | 101 |          |  + | SP,P          |              |         | MR p2075 | No Team              | *^
SS Naomi, H        20|  73/ 88      70/ 74 -20/ -4 |  99 | -3-55--- | -+ | SS,IF,H       |              |         | 3B p3283 | No Team              | ++
1B Marmolejo, C    22|  74/ 89      70/ 74 -19/ -5 |  99 | -3------ |  + | H             |              |         |     p761 | No Team              | ++-
MR Chavez, J       28|  87/ 87      99/102  -2/  5 |  98 |          | +  | MR,P          |              |         |    p1315 | No Team              | *
SP Brady, S        31|  94/ 94      88/ 97  -9/  0 |  98 |          | ++ | SP,P          |              |         | MR p4332 | No Team              | *
CF McAbee, R       23|  82/ 87      85/ 81 -11/ -7 |  97 | -2---272 | ++ | CF,OF,H       |              |         |    p3026 | No Team              | +++
1B Domino, L       24|  75/ 89      68/ 76 -18/ -5 |  97 | -4------ |  + | H             |              |         |    p1663 | No Team              | ++-
2B Haas, R         24|  81/ 89      87/ 80 -12/ -3 |  97 | -254---- |  + | IF,H          |              |         | SS p2929 | No Team              | ++-
CF Gimenez, L      28|  93/ 93      90/ 93   0/ -1 |  97 | -2---635 |  - | CF,OF,H       |              | $673.2k | RF p2759 | No Team              | *
RF Leiva, F        22|  71/ 87/ 86  76/ 70 -22/ -8 |  96 | -2---3-5 |  + | OF,H          |              |         |    p2251 | No Team              | ++
LF Perry, W        24|  74/ 88      71/ 75 -19/ -6 |  96 | -2---938 |  + | CF,OF,H       |              |         |     p790 | No Team              | ++-
1B Estes, R        25|  85/ 91      92/ 84  -8/ -3 |  96 | -6------ | -  | H             |              |         |      p33 | No Team              | +++-
3B Hisey, J        24|  72/ 87      71/ 72 -21/ -5 |  95 | -3-5---- |  + | IF,H          |              |         |    p1413 | No Team              | ++-
CF Melin, C        24|  82/ 89      76/ 83 -11/ -5 |  95 | -2---868 |  - | CF,OF,H       |              |         | LF p2870 | No Team              | +++
 C Herring, J      25|  78/ 84      82/ 77  -1/  5 |  95 | 73------ |    | C,H           |              | $673.2k |     p131 | No Team              | ++-
 C Freeman, G      28|  85/ 85      93/ 84   6/  6 |  95 | 5------- |  - | C,H           |              |  $3.97M |    p1410 | No Team              | *
 C Sweaney, J      31|  86/ 86      87/ 86   7/  7 |  95 | 42------ | -+ | C,H           |              |  $4.52M |    p4388 | No Team              | *
RF Haubrich, B     23|  76/ 85      69/ 78 -17/ -9 |  94 | -2---7-8 |  + | OF,H          |              |         | LF p2895 | No Team              | +++
2B Sanchez, A      23|  72/ 86      74/ 72 -21/ -6 |  94 | -254---- | -+ | IF,H          |              |         |    p2690 | No Team              | ++-
CF Raht, J         29|  91/ 91      84/ 93  -2/ -3 |  94 | -4---536 |  + | CF,OF,H       |              |         | 1B  p954 | No Team              | *
RF Yuji, K         23|  82/ 84      73/ 84 -11/-10 |  93 | -2---6-6 |  + | OF,H          |              |         | LF p2331 | No Team              | ++
CF Amell, A        24|  81/ 86      83/ 81 -12/ -8 |  93 | -2---773 | -+ | CF,OF,H       |              |         |    p2681 | No Team              | +++
CF Sheen, R        24|  76/ 85      66/ 78 -17/ -9 |  93 | -2---277 |  + | CF,OF,H       |              |         |    p3178 | No Team              | ++-
3B Acuña, D        25|  84/ 86      85/ 84  -9/ -6 |  93 | -6-5---- |  + | IF,H          |              |         | 1B  p836 | No Team              | +++
CF McAvoy, R       25|  87/ 88      91/ 86  -6/ -6 |  93 | -2---446 |  - | CF,OF,H       |              |         |    p1200 | No Team              | ++-
3B Juan, J         27|  89/ 89      93/ 88  -4/ -3 |  93 | -5-4---- |  + | IF,H          |              |         | 1B p2016 | No Team              | *
1B Marsden, C      30|  91/ 91      96/ 90  -2/ -3 |  93 | -5------ |  + | H             |              |         |    p1977 | No Team              | *
SP Vizcarra, J     24|  70/ 86/ 85  64/ 73 -33/ -9 |  92 |          |    | SP,P          |              |         |    p3010 | No Team              | +++
DH Sotomayor, G    25|  80/ 87      77/ 81 -13/ -7 |  92 | -------- |  - | H             |              |         | 1B p2643 | No Team              | ++-
1B Baumgart, L     30|  91/ 91      97/ 90  -2/ -3 |  92 | -3------ |    | H             |              |         |    p2538 | No Team              | *
SP Love, W         23|  67/ 84/ 83  64/ 69 -36/-11 |  91 |          | -+ | SP,P          |              |         | MR  p395 | No Team              | +++++
CF Aguayo, M       24|  73/ 84      69/ 73 -20/-10 |  91 | -5---546 | -+ | CF,OF,H       |              |         | RF p2078 | No Team              | ++-
2B Aranda, T       25|  71/ 84      68/ 72 -22/ -8 |  91 | -365---- |  + | IF,H          |              |         |    p3044 | No Team              | +++
3B Bandino, A      26|  82/ 84      90/ 80 -11/ -8 |  91 | -3-6---- |  + | IF,H          |              |         | 2B p1192 | No Team              | *
1B Ramos, S        26|  75/ 83      69/ 77 -18/-11 |  91 | -4------ | ++ | H             |              |         |    p1378 | No Team              | *
2B Tucker, C       26|  79/ 84      84/ 77 -14/ -8 |  91 | -36--4-- |  + | IF,OF,H       |              |         | SS  p642 | No Team              | *
DH Yonker, T       28|  89/ 89      92/ 89  -4/ -5 |  91 | -2------ |  + | H             |              |         | 2B  p786 | No Team              | *
SS Hoang, R        21|  69/ 80      64/ 70 -24/-12 |  90 | -3878--- |    | SS,IF,H       |              |         |    p3204 | No Team              | ++
1B Arias, A        23|  73/ 81      63/ 75 -20/-13 |  90 | -4------ |  + | H             |              |         |     p991 | No Team              | ++
2B Cadogan, C      24|  79/ 82      80/ 79 -14/-10 |  90 | -444-4-4 | +  | IF,OF,H       |              |         |     p505 | No Team              | ++
SS Cordes, R       24|  76/ 84      77/ 76 -17/ -8 |  90 | -3-77--- |  - | SS,IF,H       |              |         |    p1563 | No Team              | ++-
MR Hermosillo, M   24|  61/ 82/ 81  64/ 75 -31/ -1 |  90 |          | ++ | MR,P          |              |         |     p764 | No Team              | +++-
CF Renzi, M        25|  76/ 83      77/ 76 -17/-11 |  90 | -2---767 |  + | CF,OF,H       |              |         | LF p2660 | No Team              | +++
SP Palmieri, R     26|  77/ 83      79/ 76 -26/-11 |  90 |          |  + | SP,P          |              |         |    p1750 | No Team              | ***
MR Ceballos, H     28|  83/ 83      85/102  -7/  0 |  90 |          | ++ | MR,P          |              |         |    p1805 | No Team              | *^
 C Wink, W         19|  55/ 77/ 75  56/ 55 -24/ -4 |  89 | 3------- | ++ | C,H           |              |         |    p1622 | No Team              | +-

**Trade Values    ** |     OVR      vL/vR   vRpl   |           |          | XC | 
SS Ayo, A          26| 123/123     123/123  30/ 31 | 161 (177) | -3665--- |  + | SS,IF,H       |    $20.18Mx3 | $17.15M |     p250 | Chicago (N) Cubs     | ****
SP Pilgrim, G      28| 116/116     116/116  13/ 22 | 144 (158) |          |  + | SP,P          |      $2.2M a |  $7.81M |    p1676 | Chicago (N) Cubs     | **^
CF Shipman, A      34| 115/114     110/116  22/ 20 | 136 (150) | -3---989 |    | CF,OF,H       | F   $3.29M   | $12.75M |    p3294 | Chicago (N) Cubs     | ***
MR Gonzalez, J     36| 113/106     124/135  27/ 27 | 132 (145) |          |  + | MR,P          | F  $18.91M   |  $15.5M |    p1444 | Chicago (N) Cubs     | ****
1B Terrazas, A     26| 104/109      90/107  11/ 15 | 131 (144) | -4------ |  + | H             |     $8.14Mx2 |  $6.71M |    p2213 | Chicago (N) Cubs     | *^
MR Clewis, B       30| 103/103     116/121  16/ 24 | 131 (144) |          |  + | MR,P          |     $2.75Mx2 |  $9.46M |     p952 | Chicago (N) Cubs     | **^
SP Appel, M        34| 109/108     115/107   6/ 14 | 122 (134) |          |  + | SP,P          |     $6.75Mx2 |  $3.97M |    p4166 | Chicago (N) Cubs     | **^
2B Michael, L      35| 109/105     110/108  16/ 13 | 119 (131) | -877---- | -- | IF,H          | F  $16.09M   |  $9.46M |    p3868 | Chicago (N) Cubs     | **^
SP Perez, B        32| 103/103     100/105   0/  9 | 114 (125) |          |  + | SP,P          |      $920k a | $673.2k |    p3670 | Chicago (N) Cubs     | **
LF Baldwin, G      35| 104/100      94/105  11/  6 | 112 (123) | -4---3-- |  + | OF,H          |     $7.56Mx2 |  $6.71M |    p2346 | Chicago (N) Cubs     | **^
SP Hagerty, K      20|  68/ 97/ 94  64/ 70 -35/  0 | 105 (116) |          | -+ | SP,P          |  1           |         |    p2524 | Chicago (N) Cubs     | +++-
CF Olguin, J       23|  91/ 94      88/ 92  -2/  0 | 104 (114) | -2---646 | ++ | CF,OF,H       |  9           |         |    p1862 | Chicago (N) Cubs     | +++
MR Emanuel, K      33|  92/ 92     103/108   3/ 11 | 104 (114) |          |  + | MR,P          | F    $2.5M   |  $2.32M |    p4310 | Chicago (N) Cubs     | *^
3B Asche, C        35|  99/ 95     101/ 99   6/  3 | 102 (112) | -356---- |  + | IF,H          | F   $4.46M   |  $3.97M |       p5 | Chicago (N) Cubs     | **^
CF Puello, C       35|  93/ 89     106/ 90  14/ 10 | 102 (112) | 23---434 |  - | CF,C,OF,H     |     $2.24Mx2 |  $8.36M |    p3090 | Chicago (N) Cubs     | **
LF Baca, P         23|  78/ 94      72/ 79 -15/  0 | 101 (111) | -2---4-2 |  - | OF,H          | FT           |         |     p839 | Chicago (N) Cubs     | +++
CF Aplin, A        35|  98/ 94      94/ 98   5/  0 | 100 (110) | -2---878 |  + | CF,OF,H       |     $2.84Mx2 |  $3.42M |    p4125 | Chicago (N) Cubs     | **
MR Garcia, Y       35|  95/ 92     113/108   6/ 11 | 100 (110) |          | +  | MR,P          |      $785k a |  $3.97M |    p4606 | Chicago (N) Cubs     | **^
CF Piscotty, S     35|  99/ 95     102/ 98   6/  1 | 100 (110) | -2---646 | -  | CF,OF,H       | F   $6.63M   |  $3.97M |    p4239 | Chicago (N) Cubs     | **
SP Harvey, M       37| 109/ 93     101/112   6/ -1 | 100 (110) |          |  + | SP,P          | F   $9.23M   |  $3.97M |    p3780 | Chicago (N) Cubs     | **^
RF Mucci, T        18|  65/ 88/ 86  68/ 65 -28/ -8 |  99 (109) | -2---7-7 |    | OF,H          |              |         |    p3210 | Chicago (N) Cubs     | +++
SS Crump, E        21|  67/ 91/ 89  67/ 67 -26/ -3 |  99 (109) | -3765--- | -+ | SS,IF,H       |              |         |    p2068 | Chicago (N) Cubs     | ++-
2B Ramirez, C      22|  83/ 88      73/ 85 -10/ -4 |  99 (109) | -25----- | ++ | IF,H          |              |         |    p2015 | Chicago (N) Cubs     | ++-
1B Warren, J       24|  86/ 93      85/ 86  -7/ -1 |  99 (109) | -3------ | -  | H             |  3           |         |    p2084 | Chicago (N) Cubs     | +++-
2B Lavery, H       26|  87/ 93      85/ 87  -6/  1 |  99 (109) | -36----- | -  | IF,H          | F            |         |    p1880 | Chicago (N) Cubs     | *
SP Pugliese, R     26|  82/ 92      84/ 81 -21/ -2 |  99 (109) |          |  + | SP,P          |              |         |    p1675 | Chicago (N) Cubs     | *^
SP Santiago, L     36| 104/ 95     109/102   1/  1 |  97 (107) |          |  + | SP,P          |     $1.37Mx2 |  $1.22M |    p1398 | Chicago (N) Cubs     | **^
SP Bumgarner, M    36| 104/ 95     105/103   1/  1 |  96 (106) |          | -+ | SP,P          | F   $9.67M   |  $1.22M |    p2529 | Chicago (N) Cubs     | **^
DH Greene, T       33|  93/ 93      84/ 94   0/ -1 |  94 (103) | -2------ |  + | H             |              | $673.2k | 2B p3885 | Chicago (N) Cubs     | *
SS Machado, D      34|  93/ 92      96/ 92   0/  0 |  93 (102) | -3788--- |  + | SS,IF,H       |      $500kx2 | $673.2k |    p3338 | Chicago (N) Cubs     | *
SP Lofgren, G      19|  58/ 82/ 80  64/ 56 -45/-14 |  92 (101) |          |    | SP,P          |  6           |         |    p1844 | Chicago (N) Cubs     | +++-
SS Torre, J        21|  60/ 83/ 81  65/ 59 -33/-11 |  92 (101) | -3--98-2 |  + | SS,IF,OF,H    |  4           |         |     p231 | Chicago (N) Cubs     | +++-
LF Chick, G        22|  69/ 84      66/ 69 -24/-10 |  92 (101) | -2---3-- |  - | OF,H          | F            |         |    p2868 | Chicago (N) Cubs     | +-
SP Rios, G         24|  72/ 84      71/ 72 -31/-10 |  92 (101) |          |  + | SP,P          |  7           |         |    p1316 | Chicago (N) Cubs     | +++-
MR Derosa, J       30|  85/ 85     100/ 97  -4/  3 |  92 (101) |          |  + | MR,P          |              |         |     p800 | Chicago (N) Cubs     | ***
 C Hallam, C       19|  64/ 80/ 79  68/ 63 -15/  0 |  91 (100) | 71------ | +- | C,H           |              |         |    p3284 | Chicago (N) Cubs     | ++
SS Aguila, O       21|  64/ 81/ 80  65/ 64 -29/-12 |  91 (100) | -3576--- |  + | SS,IF,H       |              |         |    p1189 | Chicago (N) Cubs     | ++
SS Gamboa, A       23|  76/ 83      75/ 76 -17/ -9 |  91 (100) | -38-72-5 |    | SS,IF,OF,H    |              |         | RF  p923 | Chicago (N) Cubs     | ++-
SS Stagner, G      18|  55/ 79/ 77  59/ 55 -38/-15 |  90 ( 99) | -3-66--- |    | SS,IF,H       |              |         | 3B p1307 | Chicago (N) Cubs     | ++-
RF Mitsuo, K       20|  70/ 78      76/ 68 -23/-16 |  90 ( 99) | -2---4-5 |  + | OF,H          |              |         | LF p2128 | Chicago (N) Cubs     | ++
LF Kroeger, H      22|  67/ 82/ 81  62/ 68 -26/-13 |  90 ( 99) | -2---4-2 | -+ | OF,H          |              |         |     p212 | Chicago (N) Cubs     | ++
LF Millwood, E     22|  66/ 80      61/ 67 -27/-14 |  90 ( 99) | -2---5-3 |  + | OF,H          |              |         |    p3022 | Chicago (N) Cubs     | +
3B Calvo, M        20|  65/ 76      67/ 65 -28/-16 |  89 ( 98) | -3-5---- | ++ | IF,H          |              |         |      p35 | Chicago (N) Cubs     | +
SP Rodgers, P      24|  67/ 81      70/ 66 -36/-13 |  89 ( 98) |          |  + | SP,P          |  5           |         |    p2774 | Chicago (N) Cubs     | +++-
SS Hachiro, S      25|  79/ 84      80/ 79 -14/ -8 |  89 ( 98) | -4889--- |  - | SS,IF,H       |  8           |         |    p2891 | Chicago (N) Cubs     | +++-
SP Stedman, S      21|  70/ 76      65/ 72 -33/-18 |  88 ( 97) |          | ++ | SP,P          |              |         |    p3381 | Chicago (N) Cubs     | ++-
SP Amezcua, O      22|  66/ 78      68/ 64 -37/-16 |  88 ( 97) |          |  + | SP,P          |  2           |         |    p1367 | Chicago (N) Cubs     | +++-
SP Britton, Z      38| 107/ 82      91/116   4/-12 |  88 ( 97) |          | ++ | SP,P          | F    $960k   |  $2.87M |    p2798 | Chicago (N) Cubs     | **^
SP Ibañez, S       18|  58/ 74/ 73  54/ 60 -45/-21 |  87 ( 96) |          |  + | SP,P          |              |         |    p3455 | Chicago (N) Cubs     | ++
SP Garcia, A       24|  77/ 81      72/ 80 -26/-13 |  87 ( 96) |          |  - | SP,P          |              |         |     p964 | Chicago (N) Cubs     | ++
2B Essex, A        25|  67/ 80      69/ 67 -26/-12 |  87 ( 96) | -26----- |  + | IF,H          |              |         |    p1456 | Chicago (N) Cubs     | ++-
MR Menendez, A     19|  49/ 76/ 73  57/ 56 -43/-10 |  86 ( 95) |          |  + | MR,P          |              |         |    p2283 | Chicago (N) Cubs     | ++++-
SP Dunbar, C       22|  65/ 77      67/ 65 -38/-17 |  86 ( 95) |          |    | SP,P          |              |         |    p1689 | Chicago (N) Cubs     | ++-
MR Goode, V        24|  66/ 79      81/ 73 -26/ -3 |  86 ( 95) |          | -+ | MR,P          |              |         |    p2883 | Chicago (N) Cubs     | +++++
CF Linder, S       26|  71/ 78      76/ 70 -22/-16 |  86 ( 95) | -2---868 | ++ | CF,OF,H       | F            |         |    p1530 | Chicago (N) Cubs     | *
1B Polito, J       17|  52/ 71/ 70  51/ 53 -41/-24 |  85 ( 94) | -5------ |  + | H             |              |         |    p3418 | Chicago (N) Cubs     | +-
